species	contig_n50	scaffold_n50	total_length	status	ass_accession	ass_release_date
Sitobion miscanthi	1613763	36263045	397852643	Chromosome	GCA_008086715.1	2019/08/28
Stenopsyche tienmushanensis	1296863	1296863	451494475	Contig	GCA_008973525.1	2019/10/11
Camponotus floridanus	1278439	1585631	284009182	Scaffold	GCF_003227725.1	2018/06/14
Aedes albopictus	1184735	55702539	2538387871	Scaffold	GCF_006496715.1	2019/06/28
Sitophilus oryzae	1039787	2860826	770567808	Scaffold	GCF_002938485.1	2019/09/09
Galleria mellonella	952598	952598	578456222	Contig	GCA_002589825.1	2017/10/18
Drosophila serrata	942627	942627	198035861	Contig	GCF_002093755.1	2017/04/17
Harpegnathos saltator	911506	1078644	334536844	Scaffold	GCF_003227715.1	2018/06/14
Ceratitis capitata	845931	1665634	436490799	Scaffold	GCF_000347755.3	2017/12/11
Ixodes scapularis	835681	835681	2081329876	Contig	GCF_002892825.2	2018/09/28
Cydia pomonella	823676	8915549	772891954	Scaffold	GCA_003425675.2	2019/03/29
Agrotis ipsilon	820105	1057295	486925161	Scaffold	GCA_004193855.1	2019/02/13
Proctacanthus coquilletti	781095	862345	208907727	Scaffold	GCA_001932985.1	2017/01/04
Drosophila biarmipes	718147	718147	224092364	Contig	GCA_005234255.1	2019/05/08
Chilo suppressalis	642389	1753049	824354176	Scaffold	GCA_004000445.1	2019/01/08
Trichoplusia ni	621965	14205900	368211209	Chromosome	GCF_003590095.1	2018/09/24
Cochliomyia hominivorax	616429	616429	534084880	Contig	GCA_004302925.1	2019/02/26
Trichogramma pretiosum	573774	1825723	187641947	Scaffold	GCF_000599845.2	2017/12/18
Athalia rosae	571016	943070	155841210	Scaffold	GCF_000344095.2	2018/01/29
Cimex lectularius	552423	1637644	510848842	Scaffold	GCF_000648675.2	2018/02/14
Papilio xuthus	521387	3432602	243231804	Scaffold	GCA_001298345.1	2015/09/28
Spodoptera frugiperda	516067	601127	514225903	Scaffold	GCA_002213285.1	2017/06/30
Haemaphysalis longicornis	515769	515769	7362360965	Contig	GCA_008122185.1	2019/08/28
Orussus abietinus	508621	612083	186398216	Scaffold	GCF_000612105.2	2017/12/18
Ostrinia furnacalis	474742	564364	437294469	Scaffold	GCF_004193835.1	2019/02/13
Drosophila biarmipes	474639	3386121	169378599	Scaffold	GCF_000233415.1	2013/03/06
Osmia bicornis	454559	607766	210591136	Scaffold	GCF_004153925.1	2019/02/11
Drosophila erecta	453616	18748788	152712140	Scaffold	GCF_000005135.1	2011/05/02
Danaus chrysippus	452245	1465393	322399471	Scaffold	GCA_004959915.1	2019/04/30
Drosophila simulans	451931	23539531	124963774	Chromosome	GCF_000754195.2	2017/05/17
Dactylopius coccus	378999	378999	18613147	Contig	GCA_000833685.1	2015/02/09
Drosophila kanapiae	348318	405601	152203088	Scaffold	GCA_008042475.1	2019/08/21
Aedes albopictus	348191	348191	2636055571	Contig	GCA_006516635.1	2019/06/28
Eumeta japonica	324293	324293	731846884	Scaffold	GCA_005406025.1	2019/05/15
Bombyx mandarina	322127	2789315	398588931	Scaffold	GCF_003987935.1	2018/12/31
Nylanderia fulva	320712	443094	375107333	Scaffold	GCF_005281655.1	2019/05/13
Protaetia brevitarsis	318221	1955572	1143923906	Scaffold	GCA_004143645.1	2019/02/07
Plodia interpunctella	313003	1270674	381952380	Scaffold	GCA_001368715.1	2018/02/23
Plodia interpunctella	311734	5094612	382235502	Scaffold	GCA_900182495.1	2017/05/18
Drosophila virilis	306657	1255352	1255352	Chromosome	GCA_000004125.1	2010/06/28
Aethina tumida	298879	298879	234344249	Contig	GCF_001937115.1	2017/01/05
Drosophila guanche	294367	7251133	140653667	Scaffold	GCA_900245975.1	2018/12/21
Tachypleus tridentatus	293563	2882493	1889451550	Scaffold	GCA_004102145.1	2019/01/22
Cinara cedri	282647	1238776	396042769	Scaffold	GCA_902439185.1	2019/09/27
Dermanyssus gallinae	278630	278630	959010206	Contig	GCA_003439945.1	2018/08/31
Drosophila ficusphila	275894	1050541	152439475	Scaffold	GCF_000220665.1	2013/03/06
Melanaphis sacchari	275006	3012626	300271876	Scaffold	GCF_002803265.2	2018/06/22
Crematogaster levior	255727	383244	326199551	Scaffold	GCA_901521435.1	2019/07/19
Vanessa tameamea	254123	2988984	357124929	Scaffold	GCF_002938995.1	2018/02/23
Halyomorpha halys	254075	393089	998240896	Scaffold	GCF_000696795.2	2017/12/18
Drosophila eugracilis	224458	976885	156942009	Scaffold	GCF_000236325.1	2013/03/06
Myzus persicae	218922	435781	347313470	Scaffold	GCF_001856785.1	2016/10/31
Drosophila elegans	212818	1714184	171267669	Scaffold	GCF_000224195.1	2013/03/06
Tetranychus urticae	212780	2993488	90828597	Scaffold	GCF_000239435.1	2011/12/21
Drosophila birchii	209731	242398	156593892	Scaffold	GCA_008042755.1	2019/08/21
Drosophila kikkawai	209056	903682	164292578	Scaffold	GCF_000224215.1	2013/03/06
Varroa destructor	201886	58536683	368942295	Scaffold	GCF_002443255.1	2017/10/04
Galendromus occidentalis	200706	896831	151724311	Scaffold	GCF_000255335.1	2012/03/27
Anopheles albimanus	200121	9735467	173339239	Chromosome	GCA_000349125.2	2017/08/01
Daphnia pulex	194489	1160003	189550516	Scaffold	GCA_900092285.2	2019/10/01
Dufourea novaeangliae	191865	2549405	279505983	Scaffold	GCF_001272555.1	2015/08/21
Dermatophagoides farinae	188869	192501	91935067	Scaffold	GCA_002085665.1	2017/06/07
Drosophila willistoni	180217	4511350	235516348	Scaffold	GCF_000005925.1	2011/05/09
Apis cerana	179487	180259	211200590	Scaffold	GCA_002217905.1	2017/07/13
Trichoplusia ni	173052	4648132	332959012	Scaffold	GCA_003604225.1	2018/10/01
Photinus pyralis	170308	47017841	471511253	Scaffold	GCA_008802855.1	2019/10/02
Glossina pallidipes	167200	1038751	357332231	Scaffold	GCA_000688715.1	2014/05/27
Culicoides sonorensis	166828	593778	209428516	Contig	GCA_900002565.1	2019/04/10
Sipha flava	163055	1686648	353179758	Scaffold	GCF_003268045.1	2018/06/26
Anopheles farauti	161110	12895223	183103254	Scaffold	GCA_000473445.2	2014/01/23
Drosophila busckii	157428	26871514	135748557	Chromosome	GCF_001277935.1	2015/09/02
Clunio marinus	154800	1871155	85491412	Scaffold	GCA_900005825.1	2016/12/02
Hyphantria cunea	152331	1126406	510511702	Scaffold	GCA_003709505.1	2018/11/01
Drosophila bipectinata	149088	663995	167263958	Scaffold	GCF_000236285.1	2013/03/06
Coboldia fuscipes	145453	242385	98759061	Scaffold	GCA_001014335.1	2015/05/28
Drosophila lacertosa	144683	162096	154130906	Scaffold	GCA_004143845.1	2019/02/06
Bactrocera oleae	135231	139566	471780370	Scaffold	GCF_001188975.1	2015/08/19
Hypolimnas misippus	135179	1011763	408793762	Scaffold	GCA_008963455.1	2019/10/10
Drosophila mayri	131064	151783	167807061	Scaffold	GCA_008042485.1	2019/08/21
Papilio xuthus	128246	6198915	243890167	Scaffold	GCF_000836235.1	2015/02/11
Drosophila takahashii	126259	387676	182106768	Scaffold	GCF_000224235.1	2013/03/06
Anopheles minimus	123292	10313149	201793324	Scaffold	GCA_000349025.1	2013/04/08
Drosophila mojavensis	121517	24764193	193826310	Scaffold	GCF_000005175.2	2011/05/02
Drosophila virilis	120091	10161210	206026697	Scaffold	GCF_000005245.1	2011/09/15
Laodelphax striatellus	119723	1084798	539918070	Scaffold	GCA_003335185.2	2019/02/15
Drosophila simulans	117617	21106324	121269740	Chromosome	GCA_000820565.1	2015/01/16
Drosophila yakuba	115562	21770863	165709965	Chromosome	GCF_000005975.2	2011/05/09
Anopheles darlingi	115072	115072	136935538	Contig	GCA_000211455.3	2013/12/20
Drosophila obscura	114814	472512	181868570	Scaffold	GCF_002217835.1	2017/07/13
Hyalella azteca	114415	215427	550885727	Scaffold	GCA_000764305.3	2019/09/09
Drosophila melanogaster	109246	109246	153282145	Contig	GCA_000705575.1	2014/06/12
Anopheles funestus	107489	239261	444543995	Chromosome	GCA_003951495.1	2018/12/20
Drosophila bunnanda	106114	116592	151823105	Scaffold	GCA_008042815.1	2019/08/21
Drosophila melanogaster	102117	23011485	120381044	Chromosome	GCA_002310755.1	2017/09/18
Drosophila truncata	101914	127470	167897087	Scaffold	GCA_008042515.1	2019/08/21
Anopheles gambiae	101465	101465	293748066	Contig	GCA_001542645.1	2016/02/02
Onthophagus taurus	101202	337157	267079363	Scaffold	GCF_000648695.1	2017/11/02
Varroa jacobsoni	96009	233810	365585945	Scaffold	GCF_002532875.1	2017/10/13
Drosophila ananassae	95247	4599533	230993012	Scaffold	GCF_000005115.1	2011/05/02
Lucilia cuprina	94823	275862	378290214	Scaffold	GCF_000699065.1	2017/12/18
Contarinia nasturtii	94026	4510071	192766169	Scaffold	GCA_009176525.1	2019/10/18
Drosophila pectinifera	93696	102287	149209000	Scaffold	GCA_008042775.1	2019/08/21
Megathymus ursus	92816	4153133	429427782	Scaffold	GCA_003671415.1	2018/10/22
Papilio machaon	92238	1174287	278436446	Scaffold	GCF_001298355.1	2015/09/28
Drosophila grimshawi	91192	8399593	200467819	Scaffold	GCF_000005155.2	2011/05/02
Anopheles epiroticus	88996	366526	223486714	Scaffold	GCA_000349105.1	2013/04/08
Anopheles stephensi	88157	51436555	193543668	Chromosome	GCA_003448955.2	2019/01/24
Neodiprion lecontei	87373	243810	239776993	Chromosome	GCA_001263575.2	2018/06/21
Cecidostiba fungosa	87218	87417	185537488	Scaffold	GCA_900474305.1	2018/07/06
Penaeus vannamei	86864	605555	1663581301	Scaffold	GCF_003789085.1	2018/11/16
Anopheles gambiae	85548	12309988	265027044	Chromosome	GCF_000005575.2	2011/09/27
Bemisia tabaci	84501	3232964	615017152	Scaffold	GCF_001854935.1	2016/10/26
Drosophila jambulina	84243	92241	163991206	Scaffold	GCA_008042695.1	2019/08/21
Drosophila seguyi	83310	88705	178856532	Scaffold	GCA_008042675.1	2019/08/21
Lepidurus arcticus	82939	118958	73105941	Scaffold	GCA_003724045.1	2018/11/13
Aedes aegypti	82618	1547048	1383974186	Scaffold	GCF_000004015.4	2017/02/17
Acromyrmex echinatior	80630	1110580	295944863	Scaffold	GCF_000204515.1	2011/05/03
Holacanthella duospinosa	80495	310226	327566771	Scaffold	GCA_002738285.1	2017/10/31
Anoplophora glabripennis	80490	678234	706968555	Scaffold	GCF_000390285.2	2017/12/13
Dermatophagoides pteronyssinus	80070	80070	66623663	Contig	GCA_003076615.1	2018/05/01
Bicyclus anynana	78697	638282	475399557	Scaffold	GCF_900239965.1	2018/01/03
Drosophila asahinai	77794	82718	189050820	Scaffold	GCA_008042795.1	2019/08/21
Drosophila miranda	77651	28826359	136728780	Chromosome	GCF_000269505.1	2013/04/19
Aphis gossypii	77071	437960	294278726	Scaffold	GCF_004010815.1	2019/01/10
Anopheles dirus	76300	6906475	216307690	Scaffold	GCA_000349145.1	2013/04/08
Drosophila lacertosa	76210	79952	164709851	Scaffold	GCA_004143865.1	2019/02/06
Bombus terrestris	76043	3506793	248654244	Chromosome	GCF_000214255.1	2011/06/03
Armadillidium nasatum	75116	86284	1223175971	Scaffold	GCA_009176605.1	2019/10/18
Ceratosolen solmsi	74702	9558897	277059195	Scaffold	GCF_000503995.1	2013/12/04
Cyphomyrmex costatus	74312	1159032	300316566	Scaffold	GCF_001594065.1	2016/03/25
Anopheles arabiensis	74117	5604218	246567867	Scaffold	GCA_000349185.1	2013/04/08
Drosophila bocki	73461	80877	151202254	Scaffold	GCA_008042715.1	2019/08/21
Tribolium castaneum	73049	4456720	165944485	Chromosome	GCF_000002335.3	2016/03/10
Anopheles stephensi	72570	837295	225369006	Scaffold	GCA_000349045.1	2013/04/08
Drosophila punjabiensis	72339	77693	192339030	Scaffold	GCA_008042585.1	2019/08/21
Blattella germanica	71964	560693	1796331457	Scaffold	GCA_000762945.2	2018/01/19
Drosophila vulcana	70792	79402	187578810	Scaffold	GCA_008042555.1	2019/08/21
Harmonia axyridis	69098	1616388	422830650	Scaffold	GCA_003402655.1	2018/08/17
Spodoptera litura	68350	915465	438940887	Chromosome	GCA_002706865.2	2019/05/15
Nicrophorus vespilloides	67958	122407	195273382	Scaffold	GCF_001412225.1	2015/10/23
Dermatophagoides pteronyssinus	67954	450436	70778228	Scaffold	GCF_001901225.1	2017/06/21
Eurytemora affinis	67724	252275	389032277	Scaffold	GCF_000591075.1	2017/12/13
Ladona fulva	67260	1183267	1157615891	Scaffold	GCA_000376725.2	2017/11/02
Drosophila lacteicornis	66522	70510	182681050	Scaffold	GCA_008044355.1	2019/08/21
Parasteatoda tepidariorum	66479	765179	1228972128	Scaffold	GCA_000365465.3	2019/07/23
Drosophila serrata	66278	72805	159679625	Scaffold	GCA_008042835.1	2019/08/21
Drosophila melanogaster	65391	23011313	120380941	Chromosome	GCA_002310775.1	2017/09/18
Macrocentrus cingulum	65089	65089	127916415	Contig	GCA_002156465.1	2017/05/22
Orchesella cincta	64904	65879	286766519	Scaffold	GCA_001718145.1	2016/09/02
Glossina fuscipes	64354	561190	374774708	Scaffold	GCA_000671735.1	2014/05/13
Megachile rotundata	64153	1699680	272660569	Scaffold	GCF_000220905.1	2011/07/19
Teleopsis dalmanni	64047	66701	621706043	Scaffold	GCA_002237135.1	2017/07/28
Cryptotermes secundus	63940	1184893	1018932804	Scaffold	GCF_002891405.2	2018/04/13
Danaus plexippus	63596	715714	248577651	Scaffold	GCA_000235995.2	2017/06/26
Sitodiplosis mosellana	62752	5125045	208800104	Scaffold	GCA_009176505.1	2019/10/18
Glossina brevipalpis	62009	1209507	315360362	Scaffold	GCA_000671755.1	2014/05/13
Ctenocephalides felis	61000	71713785	775452550	Scaffold	GCF_003426905.1	2018/08/24
Anopheles funestus	60888	671960	225223604	Scaffold	GCA_000349085.1	2013/04/08
Drosophila nigromelanica	60665	72836	162543777	Scaffold	GCA_004149445.1	2019/02/07
Bombus impatiens	59072	1399493	246856484	Scaffold	GCF_000188095.3	2019/03/11
Hyposmocoma kahamanoa	58944	13520097	731440758	Scaffold	GCF_003589595.1	2018/09/21
Scaptomyza flava	58829	112949	214836881	Scaffold	GCA_003952975.1	2018/12/18
Drosophila rufa	57257	59460	186167886	Scaffold	GCA_008044435.1	2019/08/21
Brevipalpus yothersi	56226	170846	71162551	Scaffold	GCA_003956705.1	2018/12/19
Drosophila tani	55635	57531	180972673	Scaffold	GCA_008042535.1	2019/08/21
Synergus japonicus	55627	61479	226414463	Scaffold	GCA_900474275.1	2018/07/06
Ephemera danica	55305	599527	474347418	Scaffold	GCA_000507165.2	2017/12/13
Pieris rapae	54897	617301	245886408	Scaffold	GCF_001856805.1	2016/10/31
Schizaphis graminum	54502	1292312	385232317	Scaffold	GCA_003264975.1	2018/06/26
Anopheles atroparvus	53613	9206694	224290125	Scaffold	GCA_000473505.1	2013/10/21
Centruroides sculpturatus	52294	537465	925474958	Scaffold	GCF_000671375.1	2017/12/13
Trachymyrmex zeteki	52131	1333945	267973152	Scaffold	GCF_001594055.1	2016/03/31
Fopius arisanus	51867	978588	153631861	Scaffold	GCF_000806365.1	2014/12/23
Heliconius melpomene	51027	194302	273786188	Scaffold	GCA_000313835.2	2012/12/04
Periplaneta americana	50814	332543	3374840130	Scaffold	GCA_002939525.1	2018/02/23
Maconellicoccus hirsutus	50278	50278	189239095	Contig	GCA_003261595.1	2018/06/25
Glossina morsitans	49769	49769	363107242	Contig	GCA_001077435.1	2015/07/13
Drosophila micromelanica	49440	50769	156838486	Scaffold	GCA_004143825.1	2019/02/06
Daphnia pulex	49250	642089	197206209	Scaffold	GCA_000187875.1	2011/02/10
Anopheles merus	48115	1489982	288048996	Scaffold	GCA_000473845.2	2014/01/23
Papilio polytes	47768	3672263	227021014	Scaffold	GCF_000836215.1	2015/02/11
Drosophila auraria	47547	48331	197420731	Scaffold	GCA_008042615.1	2019/08/21
Drosophila pseudoobscura	46881	1459550	164365884	Scaffold	GCA_000149495.1	2010/10/08
Leptinotarsa decemlineata	46596	139046	641992784	Scaffold	GCF_000500325.1	2017/11/02
Homalodisca vitripennis	46532	587400	1445215006	Scaffold	GCA_000696855.2	2018/06/20
Clitarchus hookeri	46246	316087	3802633449	Scaffold	GCA_002778355.1	2017/11/16
Cotesia vestalis	46055	46055	186103588	Contig	GCA_000956155.1	2015/03/18
Glossina austeni	45924	812585	370264922	Scaffold	GCA_000688735.1	2014/05/27
Apis mellifera	45688	997192	250287000	Chromosome	GCF_000002195.4	2011/01/14
Diachasma alloeum	45480	657001	384371871	Scaffold	GCF_001412515.2	2019/04/22
Mesobuthus martensii	45228	45228	925546267	Contig	GCA_000484575.1	2013/10/28
Eriocheir sinensis	45088	490422	1549186131	Scaffold	GCA_003336515.1	2018/07/24
Laupala kohalensis	45047	583478	1595214429	Scaffold	GCA_002313205.1	2017/09/19
Anopheles stephensi	44910	43030556	180467922	Chromosome	GCA_003448975.2	2019/01/24
Cephus cinctus	44905	622163	162245578	Scaffold	GCF_000341935.1	2013/02/27
Maconellicoccus hirsutus	44863	46798	163044544	Scaffold	GCA_900064465.1	2016/03/29
Tigriopus californicus	44438	15806032	191142546	Chromosome	GCA_007210705.1	2019/07/29
Bemisia tabaci	44202	436791	657500294	Scaffold	GCA_003994315.1	2019/01/07
Apis cerana	43751	1421626	228331812	Scaffold	GCF_001442555.1	2015/11/12
Drosophila sechellia	42955	2123299	166592095	Scaffold	GCF_000005215.3	2011/05/02
Anopheles gambiae	42558	3800922	236403076	Scaffold	GCA_000150785.1	2010/10/08
Mamestra configurata	42480	207752	571323200	Scaffold	GCA_002192655.2	2019/08/02
Synergus umbraculus	42371	49302	235334141	Scaffold	GCA_900474325.1	2018/07/06
Polistes dominula	42260	1625592	208026220	Scaffold	GCF_001465965.1	2015/12/15
Copidosoma floridanum	40744	1210516	553956141	Scaffold	GCF_000648655.2	2017/12/13
Manduca sexta	40396	664006	419427777	Scaffold	GCF_000262585.1	2012/05/24
Stegodyphus mimosarum	40146	480636	2738704917	Scaffold	GCA_000611955.2	2014/08/28
Anopheles quadriannulatus	39415	1641272	283828998	Scaffold	GCA_000349065.1	2013/04/08
Temnothorax curvispinosus	38942	223562	303539295	Scaffold	GCF_003070985.1	2018/04/24
Eufriesea mexicana	38936	351926	596278454	Scaffold	GCF_001483705.1	2016/05/09
Pseudomyrmex gracilis	38830	317681	282776121	Scaffold	GCF_002006095.1	2017/02/23
Drosophila hydei	38689	754803	139940643	Scaffold	GCF_002780465.1	2017/11/16
Oithona nana	38620	400614	85010107	Scaffold	GCA_900157175.1	2017/02/21
Armadillidium vulgare	38359	51088	1725108002	Scaffold	GCA_004104545.1	2019/01/24
Harpegnathos saltator	38321	601965	294465601	Scaffold	GCF_000147195.1	2010/09/20
Anopheles maculatus	38030	198528	462688933	Scaffold	GCA_002091835.1	2017/04/14
Wasmannia auropunctata	37912	1175369	324120201	Scaffold	GCF_000956235.1	2015/03/19
Goniozus legneri	37816	167330	140141882	Scaffold	GCA_003055095.1	2018/04/17
Drosophila bakoue	36923	38013	187248584	Scaffold	GCA_008044335.1	2019/08/21
Anopheles stephensi	36511	1591355	221324304	Scaffold	GCA_000300775.2	2013/07/19
Linepithema humile	35858	1402257	219500750	Scaffold	GCF_000217595.1	2011/06/10
Rhodnius prolixus	35751	1088772	706824083	Scaffold	GCA_000181055.3	2015/04/08
Eurytoma adleriae	34678	38307	314665288	Scaffold	GCA_900480045.1	2018/12/07
Timema monikensis	34552	226495	1098921974	Scaffold	GCA_902151445.1	2019/07/12
Diaphorina citri	34407	109898	485705082	Scaffold	GCF_000475195.1	2013/10/23
Ooceraea biroi	34211	1350650	212825769	Scaffold	GCF_000611835.1	2014/04/08
Pediculus humanus	34097	497057	110781312	Scaffold	GCF_000006295.1	2010/03/24
Timema genevievae	33483	141435	1049658498	Scaffold	GCA_902155825.1	2019/07/12
Oryctes borbonicus	33367	33367	423765647	Contig	GCA_001443705.1	2015/11/13
Drosophila watanabei	32759	33883	196825890	Scaffold	GCA_008042575.1	2019/08/21
Catajapyx aquilonaris	32665	45890	285625633	Scaffold	GCA_000934665.2	2017/12/18
Vollenhovia emeryi	32417	1346088	287900827	Scaffold	GCF_000949405.1	2015/03/09
Drosophila micromelanica	31732	48586	146387375	Scaffold	GCA_004143905.1	2019/02/06
Bactrocera latifrons	31499	974427	462505359	Scaffold	GCF_001853355.1	2016/10/25
Drosophila burlai	31415	31899	175666184	Scaffold	GCA_008042655.1	2019/08/21
Culicoides sonorensis	30835	89502	194177243	Scaffold	GCA_900258525.2	2018/02/28
Ormyrus pomaceus	30505	30557	266814119	Scaffold	GCA_900474385.1	2018/07/06
Bemisia tabaci	30402	451826	538478037	Scaffold	GCA_004919745.1	2019/04/29
Drosophila novamexicana	30278	30278	157119713	Contig	GCA_900465405.1	2019/07/29
Anopheles sinensis	30137	814231	220777669	Scaffold	GCA_000441895.2	2014/07/25
Temnothorax longispinosus	30134	514432	260681563	Scaffold	GCA_004794745.1	2019/04/15
Dinoponera quadriceps	29911	1361239	259665865	Scaffold	GCF_001313825.1	2015/10/13
Leptidea sinapis	29811	112092	643059204	Scaffold	GCA_900199445.1	2017/10/16
Trinorchestia longiramus	29637	120570	886359443	Scaffold	GCA_006783055.1	2019/07/09
Polistes canadensis	29465	521566	211202212	Scaffold	GCF_001313835.1	2015/10/13
Trachymyrmex cornetzi	29356	760749	369438293	Scaffold	GCF_001594075.1	2016/03/25
Nomia melanderi	28892	2351152	325881203	Scaffold	GCA_003710045.1	2018/11/02
Operophtera brumata	28848	65630	638207720	Scaffold	GCA_001266575.1	2015/08/11
Drosophila nikananu	28823	29794	190505469	Scaffold	GCA_008042635.1	2019/08/21
Culex quinquefasciatus	28546	486756	579042118	Scaffold	GCF_000209185.1	2011/04/25
Eupelmus annulatus	28345	28524	314961079	Scaffold	GCA_900480025.1	2018/07/06
Agrilus planipennis	28329	1113421	353072773	Scaffold	GCF_000699045.2	2018/01/29
Medauroidea extradentata	28251	43047	2593359413	Scaffold	GCA_003012365.1	2018/03/20
Acyrthosiphon pisum	28199	518546	541692442	Scaffold	GCF_000142985.2	2010/06/24
Timema tahoe	28042	125371	1093399193	Scaffold	GCA_902151465.1	2019/07/12
Drosophila navojoa	26679	389283	147357603	Scaffold	GCF_001654015.2	2019/03/18
Harmonia axyridis	26622	157105	557776117	Scaffold	GCA_003865315.1	2018/12/05
Phoebis sennae	26405	299140	287490372	Scaffold	GCA_001586405.1	2016/03/10
Timema shepardi	26252	103521	1153163518	Scaffold	GCA_902151425.1	2019/07/12
Adoxophyes honmai	26229	188809	469620330	Scaffold	GCA_005406045.1	2019/05/15
